cols,mode,mean_adv_vs_quantum_train,median_adv_vs_quantum_train,sign_test_p_vs_quantum_train,cand_train_mean_switch_gain,quantum_train_mean_switch_gain,n_sessions
"('a', 'deps', 'dpsi')",weighted,-0.002503320619792876,-0.006438537107994802,0.70947265625,0.6193996147573884,0.6219029353771813,13
"('a', 'dh', 'deps', 'dpsi')",weighted,-0.002688027036889127,-0.016136779612023866,0.70947265625,0.6192149083402924,0.6219029353771813,13
"('dh', 'da', 'dpsi')",pca,-0.008539451314828122,-0.0721377590914003,0.953857421875,0.6133634840623532,0.6219029353771813,13
"('da', 'deps', 'dpsi')",pca,-0.008539451314828122,-0.0721377590914003,0.953857421875,0.6133634840623532,0.6219029353771813,13
"('h', 'a', 'dh', 'deps')",weighted,-0.010426997124560198,-0.09826892739799842,0.70947265625,0.6114759382526211,0.6219029353771813,13
"('dh', 'da')",pca,-0.010593149139101476,-0.0776514809317741,0.8665771484375,0.6113097862380799,0.6219029353771813,13
"('dh', 'da')",mean,-0.010593149139101476,-0.0776514809317741,0.8665771484375,0.6113097862380799,0.6219029353771813,13
"('da', 'deps')",pca,-0.010593149139101476,-0.0776514809317741,0.8665771484375,0.6113097862380799,0.6219029353771813,13
"('da', 'deps')",mean,-0.010593149139101476,-0.0776514809317741,0.8665771484375,0.6113097862380799,0.6219029353771813,13
"('a', 'dh', 'da', 'dpsi')",pca,-0.011722657202462291,-0.04829400482827084,0.8665771484375,0.6101802781747191,0.6219029353771813,13
"('a', 'da', 'deps', 'dpsi')",pca,-0.011722657202462291,-0.04829400482827084,0.8665771484375,0.6101802781747191,0.6219029353771813,13
"('dh', 'da', 'dpsi')",weighted,-0.013394144098427182,-0.005624988923916496,0.70947265625,0.6085087912787541,0.6219029353771813,13
"('h', 'dh', 'deps', 'dpsi')",mean,-0.013465880415819984,-0.01233442906228488,0.8665771484375,0.6084370549613614,0.6219029353771813,13
"('h', 'dh', 'da')",weighted,-0.025332566791409564,-0.047811356863324495,0.8665771484375,0.5965703685857717,0.6219029353771813,13
"('a', 'dh', 'da')",pca,-0.026571813224494003,-0.06634368245052724,0.8665771484375,0.5953311221526874,0.6219029353771813,13
"('a', 'da', 'deps')",pca,-0.026571813224494003,-0.06634368245052724,0.8665771484375,0.5953311221526874,0.6219029353771813,13
"('a', 'dh', 'dpsi')",pca,-0.02680443763706567,-0.011846820689709436,0.70947265625,0.5950984977401158,0.6219029353771813,13
"('a', 'deps', 'dpsi')",pca,-0.02680443763706567,-0.011846820689709436,0.70947265625,0.5950984977401158,0.6219029353771813,13
"('h', 'dh', 'dpsi')",pca,-0.02859201084221261,-0.002223555676166722,0.70947265625,0.5933109245349688,0.6219029353771813,13
"('h', 'deps', 'dpsi')",pca,-0.02859201084221261,-0.002223555676166722,0.70947265625,0.5933109245349688,0.6219029353771813,13
"('a', 'dh')",weighted,-0.03011158901927744,-0.033818830295864966,0.8665771484375,0.5917913463579039,0.6219029353771813,13
"('a', 'deps')",weighted,-0.03011158901927744,-0.033818830295864966,0.8665771484375,0.5917913463579039,0.6219029353771813,13
"('a', 'dh', 'deps')",mean,-0.03011158901927744,-0.033818830295864966,0.8665771484375,0.5917913463579039,0.6219029353771813,13
"('dh', 'da')",weighted,-0.0326634411846157,-0.01717174430935625,0.61279296875,0.5967562590645921,0.6219029353771813,13
"('h', 'dh', 'da', 'dpsi')",weighted,-0.045339611338293596,-0.03918802408362598,0.8665771484375,0.5765633240388878,0.6219029353771813,13
"('a', 'dh', 'da')",weighted,-0.04625197929460642,-0.12172031196299604,0.8665771484375,0.5756509560825749,0.6219029353771813,13
"('h', 'dh', 'da', 'dpsi')",mean,-0.05059911674844271,-0.07459893275732421,0.953857421875,0.5713038186287386,0.6219029353771813,13
"('h', 'da', 'deps', 'dpsi')",mean,-0.05059911674844271,-0.07459893275732421,0.953857421875,0.5713038186287386,0.6219029353771813,13
"('a', 'da', 'dpsi')",pca,-0.05609087473185978,-0.06680270631725027,0.953857421875,0.5658120606453215,0.6219029353771813,13
"('da', 'dpsi')",weighted,-0.06717920818947119,-0.06530180313519762,0.8665771484375,0.5547237271877102,0.6219029353771813,13
"('a', 'da', 'deps', 'dpsi')",weighted,-0.06756125124567298,-0.06256779784754707,0.8665771484375,0.5543416841315083,0.6219029353771813,13
