task,phi_t,dphi_t,E_t,Q_t,E_tm1,Q_tm1,dE_t,dQ_t,E_true,Q_true,E_pred,Q_pred,Q_raw_pred,Q_sign_prob_positive,p_surprise,state_pred,label
21,-0.0160584859505096,-0.5795281724698784,-9.12662991814601,-0.0401050714766423,-8.063618031308474,-0.0375735023702266,-1.0630118868375362,-0.0025315691064157,-8.176881496809017,-0.0466618938538085,-7.385929048018896,-0.04806274040607753,-0.03214740254720707,0.3958781622484914,0.7063971698340046,Surprise,P13
23,-0.0409270470475384,0.1357212534873226,-8.176881496809017,-0.0466618938538085,-9.12662991814601,-0.0401050714766423,0.9497484213369933,-0.006556822377166198,-8.541638641227536,-0.0851271401108302,-7.244804117224888,-0.06114291100102476,-0.03218087670659224,0.39707087167903715,0.5169673810156329,Surprise,P13
11,-0.6299128890195028,-1.600326954479266,-9.41100228746171,-0.0575986824422098,-6.608537478559019,-0.0395713064105599,-2.8024648089026902,-0.018027376031649903,-8.508845911157604,-0.0849328532510652,-7.379509157338092,-0.08157299140117895,-0.033624373483240655,0.3898062133274288,0.6535375036499991,Surprise,P14
12,-0.3231904912554745,0.1064879608418674,-8.508845911157604,-0.0849328532510652,-9.41100228746171,-0.0575986824422098,0.9021563763041058,-0.027334170808855397,-8.58031492426075,-0.0456599608880169,-7.788152747573148,-0.15150418197316784,-0.018361524528962562,0.4805276975795094,0.36616884250816667,CoCreation,P14
13,-0.3604371675261452,-0.0372466762706706,-8.58031492426075,-0.0456599608880169,-8.508845911157604,-0.0849328532510652,-0.07146901310314568,0.039272892363048297,-8.101546915784057,-0.0861988167401811,-7.871470744720699,-0.07282000560111956,-0.018499916174914248,0.4702938340698083,0.38338477960810863,CoCreation,P14
14,0.1237954321810497,0.4842325997071949,-8.101546915784057,-0.0861988167401811,-8.58031492426075,-0.0456599608880169,0.4787680084766919,-0.04053885585216419,-8.666901392174413,-0.0864300251982307,-7.1841049834450885,-0.13863238786799695,-0.03376524561236525,0.3947039147931249,0.5145777237477621,Surprise,P14
18,0.3698560066373196,0.2460605744562699,-8.666901392174413,-0.0864300251982307,-8.101546915784057,-0.0861988167401811,-0.5653544763903557,-0.00023120845804960877,-8.20618632107266,-0.0479536056040043,-7.270586322980486,-0.13762170973072776,-0.03523834066573365,0.39440081415433015,0.7079639223692217,Surprise,P14
19,0.5643100796177033,0.9477129791155642,-8.20618632107266,-0.0479536056040043,-8.666901392174413,-0.0864300251982307,0.46071507110175247,0.0384764195942264,-7.729149933557726,-0.0468740410311271,-7.20110662416961,-0.06055220138584218,-0.035355009822166425,0.3877478723499827,0.6354705467256382,Surprise,P14
21,0.1804857234108187,-0.3838243562068845,-7.729149933557726,-0.0468740410311271,-8.20618632107266,-0.0479536056040043,0.4770363875149348,0.0010795645728772021,-7.822812987113302,-0.0645514203560467,-7.123223767037894,-0.059788802606742845,-0.03395927945551135,0.38788555500822275,0.7590741092635422,Surprise,P14
26,-0.0673720156143972,0.2124107410761896,-7.822812987113302,-0.0645514203560467,-7.729149933557726,-0.0468740410311271,-0.09366305355557625,-0.017677379324919605,-9.267575631921927,-0.0460652202126775,-7.90429464749696,-0.11066824663518124,-0.018434594076912163,0.47993390190706886,0.48015608285953215,CoCreation,P14
9,-0.2157969087788566,-0.5459172605605579,-8.515060075830828,-0.0452932714480557,-8.220449246808272,-0.0671471490459571,-0.294610829022556,0.021853877597901403,-8.663292704298973,-0.0850668895486631,-7.301697968410445,-0.05390530103599211,-0.03668124186011929,0.38421330607148085,0.6218746609975904,Surprise,P15
11,-1.0979796502785129,-1.278942092544436,-8.663292704298973,-0.0850668895486631,-8.515060075830828,-0.0452932714480557,-0.14823262846814522,-0.039773618100607394,-8.688085354562459,0.309199984975779,-7.86918135556133,-0.13860885341678006,-0.03152492568054612,0.4828053276433031,0.33811457922879334,CoCreation,P15
26,1.7545323669625217,-0.4135778953895772,-8.688085354562459,0.309199984975779,-8.663292704298973,-0.0850668895486631,-0.024792650263485427,0.3942668745244421,-8.560395609983454,-0.0865713468574428,-7.336670159537771,-0.03769512835837591,-0.03769512835837588,0.32296869155019553,0.9919782880060287,Surprise,P15
5,0.054968401880084,-0.1998438067884957,-7.364646878189827,-0.0638486978943062,-8.016223717775919,-0.0908940943213766,0.6515768395860917,0.027045396427070406,-6.715167754079798,-0.0506972660212224,-7.153680758276034,-0.0912769112493971,-0.036420484539215287,0.3521480322969088,0.656215076426733,Surprise,P16
9,0.0078715888380074,0.1807718905465666,-6.715167754079798,-0.0506972660212224,-7.364646878189827,-0.0638486978943062,0.6494791241100293,0.013151431873083798,-8.59197811593399,0.311453504083885,-7.054088519474496,-0.06598871271377199,-0.03540581932867281,0.3506633329505704,0.5316264174617578,Surprise,P16
13,-0.3149445727890242,-0.5182607620863754,-8.59197811593399,0.311453504083885,-6.715167754079798,-0.0506972660212224,-1.8768103618541927,0.3621507701051074,-6.620158908850443,-0.0474399558377578,-7.514494285448306,-0.03396435211888499,-0.033964352118885,0.3125968476663563,0.5393626381452328,Surprise,P16
